code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,sl,om,re_entries
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,1,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,2,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,3,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,4,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,5,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,6,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,7,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,8,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,9,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,10,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,1,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,2,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,3,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,4,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,5,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,6,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,7,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,8,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,9,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,10,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_1,NATURALGAS,1,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,NATURALGAS,2,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,NATURALGAS,3,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,NATURALGAS,4,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,NATURALGAS,5,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_1,NATURALGAS,6,16:15:00,23:20:00,17:30:00,15min,sell,150,0,0
SRE_SEPARATE_LEG_SL_2,NATURALGAS,1,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,NATURALGAS,2,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,NATURALGAS,3,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,NATURALGAS,4,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,NATURALGAS,5,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
SRE_SEPARATE_LEG_SL_2,NATURALGAS,6,16:15:00,23:20:00,17:30:00,15min,sell,200,0,0
