code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,ut_sl,om,entry_time2,exit_time2,last_trade_time2,trade_interval2,sl2,ut_sl2,om2
B120G_1,NIFTY,1,09:21:00,12:57:00,09:36:00,1min,sell,HL,20,50,0.4,13:00:00,15:26:00,14:00:00,4min,40,50,0.4
B120G_1,NIFTY,2,09:21:00,12:57:00,09:36:00,1min,sell,HL,20,50,0.4,13:00:00,15:24:00,14:00:00,4min,40,50,0.4
B120G_1,SENSEX,1,09:21:00,12:57:00,09:36:00,1min,sell,HL,20,50,0.4,13:00:00,15:26:00,14:00:00,4min,40,50,0.4
B120G_1,SENSEX,2,09:21:00,12:57:00,09:36:00,1min,sell,HL,20,50,0.4,13:00:00,15:24:00,14:00:00,4min,40,50,0.4
B120G_2,NIFTY,1,09:22:00,12:57:00,09:37:00,1min,sell,HL,25,50,0.4,13:01:00,15:26:00,14:01:00,4min,45,50,0.4
B120G_2,NIFTY,2,09:22:00,12:57:00,09:37:00,1min,sell,HL,25,50,0.4,13:01:00,15:24:00,14:01:00,4min,45,50,0.4
B120G_2,SENSEX,1,09:22:00,12:57:00,09:37:00,1min,sell,HL,25,50,0.4,13:01:00,15:26:00,14:01:00,4min,45,50,0.4
B120G_2,SENSEX,2,09:22:00,12:57:00,09:37:00,1min,sell,HL,25,50,0.4,13:01:00,15:24:00,14:01:00,4min,45,50,0.4
B120G_3,NIFTY,1,09:24:00,12:57:00,09:39:00,1min,sell,HL,30,50,0.4,13:02:00,15:26:00,14:02:00,4min,50,50,0.4
B120G_3,NIFTY,2,09:24:00,12:57:00,09:39:00,1min,sell,HL,30,50,0.4,13:02:00,15:24:00,14:02:00,4min,50,50,0.4
B120G_3,SENSEX,1,09:24:00,12:57:00,09:39:00,1min,sell,HL,30,50,0.4,13:02:00,15:26:00,14:02:00,4min,50,50,0.4
B120G_3,SENSEX,2,09:24:00,12:57:00,09:39:00,1min,sell,HL,30,50,0.4,13:02:00,15:24:00,14:02:00,4min,50,50,0.4
