code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,decay,sl,om
DT_1,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,20,0.4
DT_1,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,20,0.4
DT_1,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,15,0.4
DT_1,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,15,0.4
DT_2,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,25,0.4
DT_2,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,25,0.4
DT_2,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,20,0.4
DT_2,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,20,0.4
DT_3,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,30,0.4
DT_3,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,30,0.4
DT_3,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,25,0.4
DT_3,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,25,0.4
DT_4,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,20,0.4
DT_4,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,20,0.6
DT_4,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,15,0.4
DT_4,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,10,0.6
DT_5,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,22.5,0.4
DT_5,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,25,0.6
DT_5,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,17.5,0.4
DT_5,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,12.5,0.6
DT_6,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,25,0.4
DT_6,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,22.5,0.6
DT_6,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,20,0.4
DT_6,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,15,0.6
DT_7,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,20,0.4
DT_7,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,20,0.6
DT_8,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,22.5,0.4
DT_7,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,10,0.6
DT_9,NIFTY,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,25,0.4
DT_8,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,25,0.6
DT_7,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,20,0.4
DT_8,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,12.5,0.6
DT_8,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,22.5,0.4
DT_9,SENSEX,1,09:19:00,15:26:00,10:00:00,2min,sell,HL,10,22.5,0.6
DT_9,NIFTY,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,25,0.4
DT_9,SENSEX,2,09:19:00,15:24:00,10:00:00,2min,sell,HL,10,15,0.6
