code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,sl,om,re_entries
IRE_1,NIFTY,1,09:15:00,15:27:00,09:33:00,2min,sell,100,2SD,2
IRE_2,NIFTY,1,09:15:00,15:27:00,09:33:00,2min,sell,150,2SD,2
IRE_3,NIFTY,1,09:15:00,15:27:00,09:33:00,2min,sell,200,2SD,2
IRE_1,SENSEX,1,09:15:00,15:27:00,09:33:00,2min,sell,100,2SD,2
IRE_2,SENSEX,1,09:15:00,15:27:00,09:33:00,2min,sell,150,2SD,2
IRE_3,SENSEX,1,09:15:00,15:27:00,09:33:00,2min,sell,200,2SD,2
IRE_1,NIFTY,2,09:15:00,15:27:00,09:33:00,2min,sell,100,2SD,0
IRE_2,NIFTY,2,09:15:00,15:27:00,09:33:00,2min,sell,150,2SD,0
IRE_3,NIFTY,2,09:15:00,15:27:00,09:33:00,2min,sell,200,2SD,0
IRE_1,SENSEX,2,09:15:00,15:27:00,09:33:00,2min,sell,100,2SD,0
IRE_2,SENSEX,2,09:15:00,15:27:00,09:33:00,2min,sell,150,2SD,0
IRE_3,SENSEX,2,09:15:00,15:27:00,09:33:00,2min,sell,200,2SD,0
