code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,decay,sl,om,re_entries
RED_1000_10_0.4_3,NIFTY,1,09:20:00,15:26:00,10:00:00,5min,sell,HL,10,10,0.4,3
RED_1000_10_0.4_3,SENSEX,1,09:20:00,15:26:00,10:00:00,5min,sell,HL,10,10,0.4,3
RED_1000_10_0.4_3,NIFTY,2,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,10,0.4,3
RED_1000_10_0.4_3,SENSEX,2,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,10,0.4,3
RED_1000_10_0.4_3,SENSEX,3,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,10,0.4,3
RED_1000_15_0.4_3,NIFTY,1,09:20:00,15:26:00,10:00:00,5min,sell,HL,10,15,0.4,3
RED_1000_15_0.4_3,SENSEX,1,09:20:00,15:26:00,10:00:00,5min,sell,HL,10,15,0.4,3
RED_1000_15_0.4_3,NIFTY,2,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,15,0.4,3
RED_1000_15_0.4_3,SENSEX,2,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,15,0.4,3
RED_1000_15_0.4_3,SENSEX,3,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,15,0.4,3
RED_1000_20_0.4_3,NIFTY,1,09:20:00,15:26:00,10:00:00,5min,sell,HL,10,20,0.4,3
RED_1000_20_0.4_3,SENSEX,1,09:20:00,15:26:00,10:00:00,5min,sell,HL,10,20,0.4,3
RED_1000_20_0.4_3,NIFTY,2,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,20,0.4,3
RED_1000_20_0.4_3,SENSEX,2,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,20,0.4,3
RED_1000_20_0.4_3,SENSEX,3,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,20,0.4,3
RED_1000_25_0.4_3,NIFTY,1,09:20:00,15:26:00,10:00:00,5min,sell,HL,10,25,0.4,3
RED_1000_25_0.4_3,SENSEX,1,09:20:00,15:26:00,10:00:00,5min,sell,HL,10,25,0.4,3
RED_1000_25_0.4_3,NIFTY,2,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,25,0.4,3
RED_1000_25_0.4_3,SENSEX,2,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,25,0.4,3
RED_1000_25_0.4_3,SENSEX,3,09:20:00,15:24:00,10:00:00,5min,sell,HL,10,25,0.4,3
RED_1030_10_0.4_3,NIFTY,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,10,0.4,3
RED_1030_10_0.4_3,SENSEX,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,10,0.4,3
RED_1030_10_0.4_3,NIFTY,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,10,0.4,3
RED_1030_10_0.4_3,SENSEX,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,10,0.4,3
RED_1030_10_0.4_3,SENSEX,3,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,10,0.4,3
RED_1030_15_0.4_3,NIFTY,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,15,0.4,3
RED_1030_15_0.4_3,SENSEX,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,15,0.4,3
RED_1030_15_0.4_3,NIFTY,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,15,0.4,3
RED_1030_15_0.4_3,SENSEX,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,15,0.4,3
RED_1030_15_0.4_3,SENSEX,3,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,15,0.4,3
RED_1030_20_0.4_3,NIFTY,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,20,0.4,3
RED_1030_20_0.4_3,SENSEX,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,20,0.4,3
RED_1030_20_0.4_3,NIFTY,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,20,0.4,3
RED_1030_20_0.4_3,SENSEX,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,20,0.4,3
RED_1030_20_0.4_3,SENSEX,3,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,20,0.4,3
RED_1030_25_0.4_3,NIFTY,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,25,0.4,3
RED_1030_25_0.4_3,SENSEX,1,09:20:00,15:26:00,10:30:00,5min,sell,HL,10,25,0.4,3
RED_1030_25_0.4_3,NIFTY,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,25,0.4,3
RED_1030_25_0.4_3,SENSEX,2,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,25,0.4,3
RED_1030_25_0.4_3,SENSEX,3,09:20:00,15:24:00,10:30:00,5min,sell,HL,10,25,0.4,3
RED_1100_10_0.4_3,NIFTY,1,09:20:00,15:26:00,11:00:00,5min,sell,HL,10,10,0.4,3
RED_1100_10_0.4_3,SENSEX,1,09:20:00,15:26:00,11:00:00,5min,sell,HL,10,10,0.4,3
RED_1100_10_0.4_3,NIFTY,2,09:20:00,15:24:00,11:00:00,5min,sell,HL,10,10,0.4,3
RED_1100_10_0.4_3,SENSEX,2,09:20:00,15:24:00,11:00:00,5min,sell,HL,10,10,0.4,3
RED_1100_10_0.4_3,SENSEX,3,09:20:00,15:24:00,11:00:00,5min,sell,HL,10,10,0.4,3
RED_1100_15_0.4_3,NIFTY,1,09:20:00,15:26:00,11:00:00,5min,sell,HL,10,15,0.4,3
