code,index,dte,entry_time,exit_time,orderside,method,om,movement
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_1,NIFTY,1,13:00:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_2,NIFTY,1,13:01:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_3,NIFTY,1,13:02:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_4,NIFTY,1,13:03:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_5,NIFTY,1,13:04:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_6,NIFTY,1,13:05:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_7,NIFTY,1,13:06:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_8,NIFTY,1,13:07:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_9,NIFTY,1,13:08:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_10,NIFTY,1,13:09:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_11,NIFTY,1,13:10:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_12,NIFTY,1,13:00:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_13,NIFTY,1,13:01:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_14,NIFTY,1,13:02:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_15,NIFTY,1,13:03:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_16,NIFTY,1,13:04:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_17,NIFTY,1,13:05:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_18,NIFTY,1,13:06:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_19,NIFTY,1,13:07:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_20,NIFTY,1,13:08:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_21,NIFTY,1,13:09:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_22,NIFTY,1,13:10:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_23,NIFTY,1,13:00:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_24,NIFTY,1,13:01:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_25,NIFTY,1,13:02:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_26,NIFTY,1,13:03:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_27,NIFTY,1,13:04:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_28,NIFTY,1,13:05:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_29,NIFTY,1,13:06:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_30,NIFTY,1,13:07:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_31,NIFTY,1,13:08:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_32,NIFTY,1,13:09:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_33,NIFTY,1,13:10:00,15:27:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_1,NIFTY,2,13:00:00,15:24:00,sell,HL,0.1,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Evening_2,NIFTY,2,13:01:00,15:24:00,sell,HL,0.1,100
