code,index,dte,entry_time,exit_time,orderside,method,om,movement
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_1,NIFTY,1,09:15:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_2,NIFTY,1,09:17:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_3,NIFTY,1,09:19:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_4,NIFTY,1,09:21:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_5,NIFTY,1,09:23:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_6,NIFTY,1,09:25:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_7,NIFTY,1,09:27:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_8,NIFTY,1,09:29:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_9,NIFTY,1,09:31:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_10,NIFTY,1,09:33:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_11,NIFTY,1,09:35:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_12,NIFTY,1,09:15:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_13,NIFTY,1,09:17:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_14,NIFTY,1,09:19:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_15,NIFTY,1,09:21:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_16,NIFTY,1,09:23:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_17,NIFTY,1,09:25:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_18,NIFTY,1,09:27:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_19,NIFTY,1,09:29:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_20,NIFTY,1,09:31:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_21,NIFTY,1,09:33:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_22,NIFTY,1,09:35:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_23,NIFTY,1,09:15:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_24,NIFTY,1,09:17:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_25,NIFTY,1,09:19:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_26,NIFTY,1,09:21:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_27,NIFTY,1,09:23:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_28,NIFTY,1,09:25:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_29,NIFTY,1,09:27:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_30,NIFTY,1,09:29:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_31,NIFTY,1,09:31:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_32,NIFTY,1,09:33:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_33,NIFTY,1,09:35:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_1,NIFTY,2,09:15:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_2,NIFTY,2,09:17:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_3,NIFTY,2,09:19:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_4,NIFTY,2,09:21:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_5,NIFTY,2,09:23:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_6,NIFTY,2,09:25:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_7,NIFTY,2,09:27:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_8,NIFTY,2,09:29:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_9,NIFTY,2,09:31:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_10,NIFTY,2,09:33:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_11,NIFTY,2,09:35:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_12,NIFTY,2,09:15:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_13,NIFTY,2,09:17:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_14,NIFTY,2,09:19:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_15,NIFTY,2,09:21:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_16,NIFTY,2,09:23:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_17,NIFTY,2,09:25:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_18,NIFTY,2,09:27:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_19,NIFTY,2,09:29:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_20,NIFTY,2,09:31:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_21,NIFTY,2,09:33:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_22,NIFTY,2,09:35:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_23,NIFTY,2,09:15:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_24,NIFTY,2,09:17:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_25,NIFTY,2,09:19:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_26,NIFTY,2,09:21:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_27,NIFTY,2,09:23:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_28,NIFTY,2,09:25:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_29,NIFTY,2,09:27:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_30,NIFTY,2,09:29:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_31,NIFTY,2,09:31:00,13:00:00,sell,HL,1.00SD,100
