code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,ut_sl,om,std_indicator,indicator_buffer,buffer_minute
B120_SI_1,NIFTY,2,09:20:00,15:24:00,10:30:00,4min,sell,HL,20,50,0.2,low,-0.1,375
B120_SI_1,SENSEX,2,09:20:00,15:24:00,10:30:00,4min,sell,HL,20,50,0.2,low,-0.1,375
B120_SI_2,NIFTY,2,09:20:00,15:24:00,10:30:00,4min,sell,HL,25,50,0.2,low,-0.1,375
B120_SI_2,SENSEX,2,09:20:00,15:24:00,10:30:00,4min,sell,HL,25,50,0.2,low,-0.1,375
B120_SI_3,NIFTY,2,09:20:00,15:24:00,10:30:00,4min,sell,HL,30,50,0.2,low,-0.1,375
B120_SI_3,SENSEX,2,09:20:00,15:24:00,10:30:00,4min,sell,HL,30,50,0.2,low,-0.1,375
B120_SI_1,NIFTY,1,09:20:00,15:26:00,10:30:00,4min,sell,HL,20,50,0.4,low,-0.1,375
B120_SI_1,SENSEX,1,09:20:00,15:26:00,10:30:00,4min,sell,HL,20,50,0.4,low,-0.1,375
B120_SI_2,NIFTY,1,09:20:00,15:26:00,10:30:00,4min,sell,HL,25,50,0.4,low,-0.1,375
B120_SI_2,SENSEX,1,09:20:00,15:26:00,10:30:00,4min,sell,HL,25,50,0.4,low,-0.1,375
B120_SI_3,NIFTY,1,09:20:00,15:26:00,10:30:00,4min,sell,HL,30,50,0.4,low,-0.1,375
B120_SI_3,SENSEX,1,09:20:00,15:26:00,10:30:00,4min,sell,HL,30,50,0.4,low,-0.1,375
