code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,decay,sl,om,std_indicator,indicator_buffer,buffer_minute
DT_SI_1,NIFTY,1,09:19:00,15:28:00,10:00:00,2min,sell,HL,10,20,0.4,low,-0.1,375
DT_SI_1,SENSEX,1,09:19:00,15:28:00,10:00:00,2min,sell,HL,10,20,0.4,low,-0.1,375
DT_SI_2,NIFTY,1,09:19:00,15:28:00,10:00:00,2min,sell,HL,10,25,0.4,low,-0.1,375
DT_SI_2,SENSEX,1,09:19:00,15:28:00,10:00:00,2min,sell,HL,10,25,0.4,low,-0.1,375
DT_SI_3,NIFTY,1,09:19:00,15:28:00,10:00:00,2min,sell,HL,10,30,0.4,low,-0.1,375
DT_SI_3,SENSEX,1,09:19:00,15:28:00,10:00:00,2min,sell,HL,10,30,0.4,low,-0.1,375
DT_SI_1,NIFTY,2,09:19:00,15:25:00,10:00:00,2min,sell,HL,10,15,0.4,low,-0.1,375
DT_SI_1,SENSEX,2,09:19:00,15:25:00,10:00:00,2min,sell,HL,10,15,0.4,low,-0.1,375
DT_SI_2,NIFTY,2,09:19:00,15:25:00,10:00:00,2min,sell,HL,10,20,0.4,low,-0.1,375
DT_SI_2,SENSEX,2,09:19:00,15:25:00,10:00:00,2min,sell,HL,10,20,0.4,low,-0.1,375
DT_SI_3,NIFTY,2,09:19:00,15:25:00,10:00:00,2min,sell,HL,10,25,0.4,low,-0.1,375
DT_SI_3,SENSEX,2,09:19:00,15:25:00,10:00:00,2min,sell,HL,10,25,0.4,low,-0.1,375
