Strategy,Index,dte,Fund,PositivePSL,NegativePSL
NIFTY,NIFTY,1,-1,2,-2
NIFTY,NIFTY,2,-1,2,-2
NIFTY,NIFTY,3,-1,2,-2
SENSEX,SENSEX,1,-1,2,-2
SENSEX,SENSEX,2,-1,2,-2
NRE_CC_1,NIFTY,1,16666666.67,5,-0.4
NRE_CC_1,NIFTY,2,16666666.67,5,-0.4
NRE_CC_1,NIFTY,3,8333333.333,5,-0.4
NRE_CC_2,NIFTY,1,16666666.67,5,-0.4
NRE_CC_2,NIFTY,2,16666666.67,5,-0.4
NRE_CC_2,NIFTY,3,8333333.333,5,-0.4
NRE_CC_3,NIFTY,1,16666666.67,5,-0.4
NRE_CC_3,NIFTY,2,16666666.67,5,-0.4
NRE_CC_3,NIFTY,3,8333333.333,5,-0.4
NRE_CC_1,SENSEX,1,16666666.67,5,-0.4
NRE_CC_1,SENSEX,2,16666666.67,5,-0.4
NRE_CC_2,SENSEX,1,16666666.67,5,-0.4
NRE_CC_2,SENSEX,2,16666666.67,5,-0.4
NRE_CC_3,SENSEX,1,16666666.67,5,-0.4
NRE_CC_3,SENSEX,2,16666666.67,5,-0.4
SRE_PREMIUM_SHIFT_1,NIFTY,1,16666666.67,5,-0.4
SRE_PREMIUM_SHIFT_2,NIFTY,1,16666666.67,5,-0.4
SRE_PREMIUM_SHIFT_3,NIFTY,1,16666666.67,5,-0.4
SRE_PREMIUM_SHIFT_1,SENSEX,1,16666666.67,5,-0.4
SRE_PREMIUM_SHIFT_2,SENSEX,1,16666666.67,5,-0.4
SRE_PREMIUM_SHIFT_3,SENSEX,1,16666666.67,5,-0.4
SRE_SEPARATE_LEG_SL_1,NIFTY,2,16666666.67,5,-0.4
SRE_SEPARATE_LEG_SL_2,NIFTY,2,16666666.67,5,-0.4
SRE_SEPARATE_LEG_SL_3,NIFTY,2,16666666.67,5,-0.4
SRE_SEPARATE_LEG_SL_1,NIFTY,3,8333333.333,5,-0.4
SRE_SEPARATE_LEG_SL_2,NIFTY,3,8333333.333,5,-0.4
SRE_SEPARATE_LEG_SL_3,NIFTY,3,8333333.333,5,-0.4
SRE_SEPARATE_LEG_SL_1,SENSEX,2,16666666.67,5,-0.4
SRE_SEPARATE_LEG_SL_2,SENSEX,2,16666666.67,5,-0.4
SRE_SEPARATE_LEG_SL_3,SENSEX,2,16666666.67,5,-0.4
