index,dte,Nv,from_date,to_date,start_time,end_time,run
NIFTY,1,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
NIFTY,2,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
NIFTY,3,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
NIFTY,4,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
NIFTY,5,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
NIFTY,6,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
SENSEX,1,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
SENSEX,2,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
SENSEX,3,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
SENSEX,4,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
SENSEX,5,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
SENSEX,6,17,01-01-2024,23-01-2026,09:15:00,15:29:00,TRUE
