code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,om,trail,trail_upto_cost
B120_1,SENSEX,1,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_2,SENSEX,1,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_3,SENSEX,1,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_1,NIFTY,1,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_2,NIFTY,1,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_3,NIFTY,1,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_1,NIFTY,2,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_2,NIFTY,2,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_3,NIFTY,2,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_1,SENSEX,2,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_2,SENSEX,2,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_3,SENSEX,2,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_1,NIFTY,3,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_2,NIFTY,3,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_3,NIFTY,3,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_1,SENSEX,5,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_2,SENSEX,5,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
B120_3,SENSEX,5,09:20:00,15:25:00,14:00:00,10min,sell,HL,20,0.1,0.5,TRUE
