code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,decay,sl,om
DT_1,NIFTY,1,09:15:00,15:26:00,10:30:00,10min,sell,HL,10,15,0.2
DT_1,NIFTY,2,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,15,0.2
DT_1,NIFTY,3,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,15,0.2
DT_2,NIFTY,1,09:15:00,15:26:00,10:30:00,10min,sell,HL,10,25,0.2
DT_2,NIFTY,2,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,25,0.2
DT_2,NIFTY,3,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,25,0.2
DT_3,NIFTY,1,09:15:00,15:26:00,10:30:00,10min,sell,HL,10,35,0.2
DT_3,NIFTY,2,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,35,0.2
DT_3,NIFTY,3,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,35,0.2
DT_1,SENSEX,1,09:15:00,15:26:00,10:30:00,10min,sell,HL,10,15,0.2
DT_1,SENSEX,2,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,15,0.2
DT_2,SENSEX,1,09:15:00,15:26:00,10:30:00,10min,sell,HL,10,25,0.2
DT_2,SENSEX,2,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,25,0.2
DT_3,SENSEX,1,09:15:00,15:26:00,10:30:00,10min,sell,HL,10,35,0.2
DT_3,SENSEX,2,09:15:00,15:24:00,10:30:00,10min,sell,HL,10,35,0.2
