code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,ce_re_sl,pe_re_sl,om,ce_re_entries,pe_re_entries,ce_till_time,pe_till_time
NRE_CCRESL_1,NIFTY,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,15,25,25,0.2,2,2,12:00:00,12:00:00
NRE_CCRESL_1,NIFTY,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,15,25,25,0.2,1,1,12:00:00,12:00:00
NRE_CCRESL_1,NIFTY,3,09:15:00,15:24:00,10:30:00,5min,sell,HL,15,25,25,0.2,1,1,12:00:00,12:00:00
NRE_CCRESL_2,NIFTY,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,25,35,35,0.2,2,2,12:00:00,12:00:00
NRE_CCRESL_2,NIFTY,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,25,35,35,0.2,1,1,12:00:00,12:00:00
NRE_CCRESL_2,NIFTY,3,09:15:00,15:24:00,10:30:00,5min,sell,HL,25,35,35,0.2,1,1,12:00:00,12:00:00
NRE_CCRESL_3,NIFTY,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,35,45,45,0.2,2,2,12:00:00,12:00:00
NRE_CCRESL_3,NIFTY,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,35,45,45,0.2,1,1,12:00:00,12:00:00
NRE_CCRESL_3,NIFTY,3,09:15:00,15:24:00,10:30:00,5min,sell,HL,35,45,45,0.2,1,1,12:00:00,12:00:00
NRE_CCRESL_1,SENSEX,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,15,25,25,0.2,2,2,12:00:00,12:00:00
NRE_CCRESL_1,SENSEX,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,15,25,25,0.2,1,1,12:00:00,12:00:00
NRE_CCRESL_2,SENSEX,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,25,35,35,0.2,2,2,12:00:00,12:00:00
NRE_CCRESL_2,SENSEX,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,25,35,35,0.2,1,1,12:00:00,12:00:00
NRE_CCRESL_3,SENSEX,1,09:15:00,15:26:00,10:30:00,5min,sell,HL,35,45,45,0.2,2,2,12:00:00,12:00:00
NRE_CCRESL_3,SENSEX,2,09:15:00,15:24:00,10:30:00,5min,sell,HL,35,45,45,0.2,1,1,12:00:00,12:00:00
