code,index,dte,entry_time,exit_time,orderside,method,om,divider,movement
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:15:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:17:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:19:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:21:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:23:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:25:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:27:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:29:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:31:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,NIFTY,1,09:33:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:15:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:17:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:19:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:21:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:23:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:25:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:27:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:29:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:31:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,NIFTY,1,09:33:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:15:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:17:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:19:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:21:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:23:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:25:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:27:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:29:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:31:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,NIFTY,1,09:33:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:15:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:17:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:19:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:21:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:23:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:25:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:27:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:29:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:31:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_1,SENSEX,1,09:33:00,15:26:00,sell,HL,0.3SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:15:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:17:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:19:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:21:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:23:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:25:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:27:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:29:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:31:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_2,SENSEX,1,09:33:00,15:26:00,sell,HL,0.5SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:15:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:17:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:19:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:21:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:23:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:25:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:27:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:29:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:31:00,15:26:00,sell,HL,1SD,50,100
SRE_PREMIUM_SHIFT_3,SENSEX,1,09:33:00,15:26:00,sell,HL,1SD,50,100
