code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,sl,intra_sl,om,ut_orderside,ut_method,ut_sl,ut_om
SUT_1,NIFTY,1,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_1,NIFTY,2,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_1,NIFTY,3,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_2,NIFTY,1,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_2,NIFTY,2,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_2,NIFTY,3,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_3,NIFTY,1,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_3,NIFTY,2,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_3,NIFTY,3,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_1,SENSEX,1,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_1,SENSEX,2,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_2,SENSEX,1,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_2,SENSEX,2,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_3,SENSEX,1,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
SUT_3,SENSEX,2,09:20:00,15:25:00,10:00:00,10min,sell,10,sl+0,0,sell,HL,50,0
