code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,om,re_entries,till_time
NRE_CC_RE_TillTime_1,NIFTY,1,09:16:00,15:26:00,09:23:00,10min,sell,HL,15,0.2,4,13:00:00
NRE_CC_RE_TillTime_2,NIFTY,1,09:16:00,15:26:00,09:23:00,10min,sell,HL,20,0.2,4,13:00:00
NRE_CC_RE_TillTime_3,NIFTY,1,09:16:00,15:26:00,09:23:00,10min,sell,HL,25,0.2,4,13:00:00
NRE_CC_RE_TillTime_4,NIFTY,1,09:18:00,15:26:00,09:25:00,10min,sell,HL,15,0.2,4,13:00:00
NRE_CC_RE_TillTime_5,NIFTY,1,09:18:00,15:26:00,09:25:00,10min,sell,HL,20,0.2,4,13:00:00
NRE_CC_RE_TillTime_6,NIFTY,1,09:18:00,15:26:00,09:25:00,10min,sell,HL,25,0.2,4,13:00:00
NRE_CC_RE_TillTime_7,NIFTY,1,09:20:00,15:26:00,09:27:00,10min,sell,HL,15,0.2,4,13:00:00
NRE_CC_RE_TillTime_8,NIFTY,1,09:20:00,15:26:00,09:27:00,10min,sell,HL,20,0.2,4,13:00:00
NRE_CC_RE_TillTime_9,NIFTY,1,09:20:00,15:26:00,09:27:00,10min,sell,HL,25,0.2,4,13:00:00
NRE_CC_RE_TillTime_10,NIFTY,1,09:25:00,15:26:00,09:32:00,10min,sell,HL,15,0.2,4,13:00:00
NRE_CC_RE_TillTime_11,NIFTY,1,09:25:00,15:26:00,09:32:00,10min,sell,HL,20,0.2,4,13:00:00
NRE_CC_RE_TillTime_12,NIFTY,1,09:25:00,15:26:00,09:32:00,10min,sell,HL,25,0.2,4,13:00:00
NRE_CC_RE_TillTime_13,NIFTY,1,09:30:00,15:26:00,09:37:00,10min,sell,HL,15,0.2,4,13:00:00
NRE_CC_RE_TillTime_14,NIFTY,1,09:30:00,15:26:00,09:37:00,10min,sell,HL,20,0.2,4,13:00:00
NRE_CC_RE_TillTime_15,NIFTY,1,09:30:00,15:26:00,09:37:00,10min,sell,HL,25,0.2,4,13:00:00
NRE_CC_RE_TillTime_16,NIFTY,1,09:40:00,15:26:00,09:47:00,10min,sell,HL,15,0.2,4,13:00:00
NRE_CC_RE_TillTime_17,NIFTY,1,09:40:00,15:26:00,09:47:00,10min,sell,HL,20,0.2,4,13:00:00
NRE_CC_RE_TillTime_18,NIFTY,1,09:40:00,15:26:00,09:47:00,10min,sell,HL,25,0.2,4,13:00:00
NRE_CC_RE_TillTime_19,NIFTY,1,09:50:00,15:26:00,09:57:00,10min,sell,HL,15,0.2,4,13:00:00
NRE_CC_RE_TillTime_20,NIFTY,1,09:50:00,15:26:00,09:57:00,10min,sell,HL,20,0.2,4,13:00:00
NRE_CC_RE_TillTime_21,NIFTY,1,09:50:00,15:26:00,09:57:00,10min,sell,HL,25,0.2,4,13:00:00
NRE_CC_RE_TillTime_22,NIFTY,1,10:00:00,15:26:00,10:07:00,10min,sell,HL,15,0.2,4,13:00:00
NRE_CC_RE_TillTime_23,NIFTY,1,10:00:00,15:26:00,10:07:00,10min,sell,HL,20,0.2,4,13:00:00
NRE_CC_RE_TillTime_24,NIFTY,1,10:00:00,15:26:00,10:07:00,10min,sell,HL,25,0.2,4,13:00:00
NRE_CC_RE_TillTime_1,SENSEX,1,09:16:00,15:26:00,09:23:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_2,SENSEX,1,09:16:00,15:26:00,09:23:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_3,SENSEX,1,09:16:00,15:26:00,09:23:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_4,SENSEX,1,09:18:00,15:26:00,09:25:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_5,SENSEX,1,09:18:00,15:26:00,09:25:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_6,SENSEX,1,09:18:00,15:26:00,09:25:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_7,SENSEX,1,09:20:00,15:26:00,09:27:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_8,SENSEX,1,09:20:00,15:26:00,09:27:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_9,SENSEX,1,09:20:00,15:26:00,09:27:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_10,SENSEX,1,09:25:00,15:26:00,09:32:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_11,SENSEX,1,09:25:00,15:26:00,09:32:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_12,SENSEX,1,09:25:00,15:26:00,09:32:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_13,SENSEX,1,09:30:00,15:26:00,09:37:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_14,SENSEX,1,09:30:00,15:26:00,09:37:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_15,SENSEX,1,09:30:00,15:26:00,09:37:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_16,SENSEX,1,09:40:00,15:26:00,09:47:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_17,SENSEX,1,09:40:00,15:26:00,09:47:00,10min,sell,HL,20,0.2,2,13:00:00
